Name,Region,Longitude,Latitude,Water depth (m),Annual mean SST (°C)a,Annual mean temperature 0-200 m (°C)a,fGDGT-0,fGDGT-1,fGDGT-2,fGDGT-3,fcren,fcren',fOH-GDGT-0,fOH-GDGT-1,fOH-GDGT-2,GDGT-0,GDGT-1,GDGT-2,GDGT-3,cren,cren',OH-GDGT-0,OH-GDGT-1,OH-GDGT-2,BITd,TEX86,RI-OH,RI-OH',OHC,%OH,TEX86OH,Lab,Methodse,MS infof,Reference paper,Reference paper for non-hydroxylated isoGDGTs
GeoB2820-1,Rio Grande Rise,-38.44,-30.82,3606,21.5,18.8,0.32,0.08,0.08,0.01,0.49,0.03,0.59,0.19,0.22,3879686,936940,932781,84867,5953659,382117,71243,23185,25907,0.05,0.6,1.53,0.62,0.54,0.98,0.58,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB2821-2,Rio Grande Rise,-38.82,-30.45,3936,21.5,18.8,0.36,0.08,0.08,0.01,0.44,0.03,0.58,0.23,0.19,608403,139845,129881,10663,745801,52641,14033,5421,4561,0.17,0.58,1.46,0.61,0.5,1.4,0.56,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB2825-3,Rio Grande Rise,-41.43,-32.5,4352,20.1,17.9,0.39,0.06,0.05,0,0.48,0.02,,,,7984590,1189044,978470,95402,9680971,372909,,,,,0.55,,,,,0.55,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB2826-1,Rio Grande Rise,-40.97,-31.9,3959,21.2,18.5,0.33,0.06,0.06,0.01,0.51,0.03,0.71,0.16,0.13,8611592,1642206,1540952,176517,13102884,731093,304821,69566,57859,0.03,0.6,1.45,0.43,0.47,1.65,0.56,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB2829-3,Rio Grande Rise,-43.43,-30.87,3523,20.9,18.9,0.3,0.07,0.07,0.01,0.52,0.03,0.63,0.18,0.19,5368597,1213823,1277542,133216,9170307,574888,134340,38770,40160,0.07,0.62,1.51,0.56,0.54,1.19,0.6,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB2830-1,Rio Grande Rise,-44,-29.02,3815,23.2,19.9,0.3,0.07,0.08,0.01,0.51,0.04,0.66,0.18,0.17,3560147,802462,901166,83588,6080159,417068,86796,23434,21808,0.05,0.64,1.48,0.51,0.56,1.1,0.61,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB6402-9,Central South Atlantic,-22.76,-39.74,3878,14.8,14,0.47,0.06,0.04,0.01,0.41,0.01,0.73,0.17,0.11,2137928,293144,174915,23140,1890538,42020,62752,14518,9116,,0.45,1.39,0.38,0.29,1.86,0.4,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB6404-3,Central South Atlantic,-23.46,-41.51,4223,13.4,12.6,0.48,0.06,0.03,0,0.43,0.01,0.74,0.18,0.08,7529819,875734,443245,39827,6690036,104718,265621,69403,36649,,0.4,1.32,0.35,0.18,2.31,0.34,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB6405-8,Central South Atlantic,-21.85,-42,3863,13.5,11.6,0.43,0.06,0.03,0,0.46,0.01,0.71,0.19,0.1,3238831,476678,244698,33266,3481925,101170,119332,32315,16326,0.01,0.44,1.34,0.39,0.25,2.17,0.39,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB6406-1,Central South Atlantic,-20.78,-42,3514,12,11,0.46,0.06,0.03,0,0.44,0.01,0.72,0.19,0.09,11143622,1497758,735991,103995,10640643,243618,438433,113416,56712,0.04,0.42,1.33,0.37,0.2,2.44,0.36,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB6409-2,Central South Atlantic,-21.72,-44.51,4296,11,9.5,0.55,0.06,0.03,0,0.35,0.01,0.79,0.15,0.06,6433035,748461,294822,38329,4182104,85014,288252,55880,21235,0,0.36,1.28,0.27,0.08,3.01,0.29,NIOZ,1,1,This study,"Kim et al., 2010"
GeoB6414-1,Central South Atlantic,-13.07,-44,3830,11,9.6,0.49,0.06,0.03,0,0.41,0.01,0.77,0.16,0.07,2232738,276321,124558,15674,1859306,38982,99919,21117,8854,0.01,0.39,1.3,0.3,0.14,2.78,0.32,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB6418-3,Central South Atlantic,-21.54,-38.43,4126,14.2,13.6,0.42,0.07,0.04,0.01,0.45,0.02,0.65,0.2,0.15,2128989,341797,202724,31322,2291562,79265,73428,22663,16541,0.05,0.48,1.42,0.49,0.31,2.17,0.43,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB6420-2,Central South Atlantic,-22.15,-37.16,3998,15.2,14,0.4,0.07,0.05,0.01,0.46,0.02,0.62,0.21,0.18,2711506,481641,308430,47504,3087981,121587,76268,25615,21833,0.03,0.5,1.46,0.56,0.37,1.8,0.46,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB6421-1,Central South Atlantic,-22.45,-36.45,4216,16.5,15,0.37,0.07,0.05,0.01,0.48,0.02,0.6,0.21,0.19,903407,164231,129844,19227,1166318,50971,25286,8978,7789,0.07,0.55,1.46,0.58,0.43,1.7,0.51,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB6422-5,Central South Atlantic,-22.73,-35.71,3972,17.6,15.4,0.35,0.07,0.06,0.01,0.48,0.02,0.57,0.2,0.23,1092284,219923,189914,24631,1490104,66686,29288,10399,12070,0.06,0.56,1.54,0.67,0.46,1.65,0.53,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB6424-2,Central South Atlantic,-23.28,-34.61,3820,18.4,16,0.36,0.07,0.06,0.01,0.48,0.03,0.55,0.21,0.25,3650025,721646,561521,83347,4928801,258492,84038,31562,37807,0.05,0.56,1.55,0.7,0.46,1.48,0.53,NIOZ,1,1,This study,"Kim et al., 2010"
GeoB6426-2,Central South Atlantic,-24.02,-33.5,4381,19.5,17.2,0.35,0.07,0.06,0.01,0.48,0.02,0.61,0.19,0.2,13023846,2702208,2289357,239871,17617523,900870,265386,81032,86336,0.06,0.56,1.52,0.59,0.48,1.16,0.54,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB6427-1,Central South Atlantic,-24.25,-33.18,4491,19.5,17.2,0.36,0.07,0.06,0,0.48,0.02,,,,3983145,748510,679512,52472,5261502,197526,,,,,0.55,,,,,0.55,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB6428-3,Central South Atlantic,-24.25,-32.51,4022,19.6,17.3,0.33,0.08,0.07,0.01,0.49,0.03,0.57,0.19,0.24,1327261,302867,268838,28412,1970699,117369,30363,10088,12860,0.09,0.58,1.56,0.67,0.5,1.31,0.55,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB6429-1,Central South Atlantic,-24.25,-31.95,4335,20.8,18.2,0.3,0.07,0.07,0.01,0.52,0.04,0.61,0.18,0.21,836957,200121,195298,26879,1460281,105636,18637,5563,6472,0.13,0.62,1.54,0.6,0.55,1.07,0.6,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB8301-5,Namibia margin,17.7,-34.77,1941,18,13.9,0.25,0.04,0.04,0.01,0.64,0.03,0.54,0.29,0.17,530238,94072,76956,14711,1361689,54911,58912,31635,19132,0.02,0.61,1.38,0.64,0.25,4.89,0.49,NIOZ,1,1,This study,"Kim et al., 2010"
GeoB8306-1,Namibia margin,16.84,-33.74,1924,18.1,14.8,0.45,0.06,0.04,0.01,0.43,0.01,0.62,0.24,0.14,7802720,1121913,695800,105755,7403264,252275,256058,97702,56001,0.01,0.48,1.36,0.51,0.31,2.3,0.43,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB8307-5,Namibia margin,16.5,-33.83,2668,18.1,14.8,0.45,0.07,0.05,0.01,0.41,0.02,0.61,0.24,0.15,2346583,365287,244495,36030,2181240,84512,61243,24155,15179,0.01,0.5,1.39,0.54,0.37,1.88,0.46,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB8308-2,Namibia margin,16.27,-33.92,3162,18.1,14.8,0.44,0.07,0.05,0.01,0.42,0.02,0.6,0.23,0.16,2004053,334974,217601,31706,1926777,81857,51161,19659,13960,0.01,0.5,1.42,0.56,0.37,1.81,0.46,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB8310-1,Namibia margin,16.38,-32.91,1995,17.2,13.5,0.47,0.07,0.04,0.01,0.4,0.02,0.67,0.22,0.11,491164,70828,40886,7170,409269,16480,20440,6672,3336,0,0.48,1.33,0.44,0.27,2.86,0.41,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB8311-1,Namibia margin,16.31,-32.37,2535,17.2,13.5,0.47,0.07,0.04,0.01,0.39,0.02,0.65,0.21,0.14,526197,79063,47733,6831,436259,19686,20285,6603,4523,0.02,0.48,1.41,0.5,0.29,2.74,0.43,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB8313-1,Namibia margin,15.94,-32.12,1090,18.2,15.1,0.47,0.07,0.04,0.01,0.4,0.02,0.61,0.24,0.15,1257621,190685,112047,18713,1066714,41036,39249,15505,9936,0.01,0.47,1.39,0.55,0.31,2.35,0.43,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB8317-1,Namibia margin,15.16,-32.33,2930,18.2,15.1,0.43,0.07,0.05,0.01,0.43,0.02,0.6,0.22,0.18,3476654,571866,391988,56256,3470256,146172,97117,36261,28361,0.01,0.51,1.44,0.57,0.37,1.95,0.47,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB8319-1,Namibia margin,18.08,-32.5,69,15,10.9,0.51,0.03,0.01,0,0.44,0,0.75,0.2,0.05,56677234,3556390,1359765,427278,49273763,389850,2473196,644234,170832,0.03,0.38,1.21,0.3,-0.03,2.86,0.27,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB8321-1,Namibia margin,18.12,-31.86,104,15,10.6,0.49,0.04,0.01,0,0.45,0,0.73,0.21,0.06,2839810,207613,83451,22762,2601667,28806,128500,37664,10720,0.05,0.39,1.22,0.33,0.01,2.97,0.29,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB8322-1,Namibia margin,18.12,-31.95,105,15,10.6,0.49,0.04,0.01,0,0.45,0,0.73,0.21,0.06,17162139,1242628,486901,142421,15877986,157521,736493,217501,58573,0.04,0.39,1.21,0.33,0.02,2.81,0.28,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB8324-1,Namibia margin,18.09,-31.75,100,15,10.6,0.49,0.04,0.01,0,0.45,0,0.72,0.21,0.07,5866532,433167,167045,51229,5301291,55442,268843,79154,24521,0.04,0.39,1.24,0.34,0,3.04,0.28,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB8325-1,Namibia margin,17.28,-30.6,134,15.8,11.5,0.55,0.04,0.02,0.01,0.38,0.01,,,,310389,25336,9717,3351,212310,3677,,,,0.06,0.4,,,,,0.4,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB8327-1,Namibia margin,17.01,-29.7,88,14,9.3,0.52,0.04,0.02,0,0.42,0,0.71,0.22,0.07,3951885,275096,132417,28025,3163058,25686,165663,52698,16160,,0.4,1.23,0.36,0.03,3,0.3,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB8328-1,Namibia margin,17.06,-29.94,112,14,9.3,0.52,0.04,0.02,0,0.42,0,0.72,0.22,0.06,17261538,1171796,533011,134129,13968353,128303,595446,187132,49375,,0.4,1.21,0.34,0.07,2.44,0.31,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB8329-1,Namibia margin,17.03,-29.93,111,14,9.3,0.49,0.04,0.02,0,0.44,0,0.71,0.22,0.06,11610473,849075,361299,108941,10436709,112959,480536,149203,42748,0.03,0.41,1.22,0.35,0.05,2.78,0.3,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB8332-3,Namibia margin,16.66,-29.13,117,14,9.3,0.51,0.04,0.02,0,0.42,0,0.72,0.22,0.06,6383540,460800,189119,60000,5271383,60861,274230,83214,24535,0.04,0.4,1.23,0.35,0.03,2.98,0.3,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB8333-1,Namibia margin,16.61,-29.12,20,14,9.3,0.54,0.04,0.02,0,0.4,0.01,0.7,0.22,0.07,4298667,315961,125329,37624,3192285,43704,205814,64767,21631,0.1,0.4,1.25,0.37,0,3.52,0.28,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB8338-1,Namibia margin,14.32,-29.5,915,17.3,13.7,0.47,0.07,0.04,0.01,0.4,0.02,0.62,0.26,0.12,1309962,193968,109497,17403,1124638,42299,44411,18645,8801,0.01,0.47,1.32,0.5,0.29,2.5,0.42,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB8343-1,Namibia margin,13.33,-30.85,3089,18.5,15.6,0.41,0.08,0.05,0.01,0.44,0.02,0.59,0.23,0.18,1144803,211868,149161,20705,1228857,54682,28369,11148,8817,0,0.51,1.44,0.6,0.4,1.69,0.48,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB9506-3,West Africa,-18.35,15.61,2964,24.2,16.3,0.26,0.06,0.06,0.01,0.57,0.03,0.49,0.26,0.26,2412787,563178,549814,75022,5265472,316656,41571,21800,22019,0.03,0.63,1.5,0.77,0.57,0.92,0.61,NIOZ,4,1,This study,"Kim et al., 2010"
GeoB9508-4,West Africa,-17.95,15.5,2385,23.5,16.5,0.34,0.07,0.07,0.01,0.48,0.02,0.43,0.29,0.28,7799652,1661026,1582579,139604,10913576,541653,81942,54726,52613,,0.58,1.49,0.85,0.53,0.83,0.56,NIOZ,4,1,This study,"Kim et al., 2010"
GeoB9513-5,West Africa,-17.29,15.32,498,23.5,16.5,0.33,0.07,0.05,0.01,0.53,0.02,0.31,0.31,0.38,12426749,2476145,2069771,348239,19984598,723265,158187,161592,196140,,0.56,1.55,1.07,0.49,1.34,0.54,NIOZ,4,1,This study,"Kim et al., 2010"
GeoB9528-1,West Africa,-17.66,9.17,3053,26.9,17.3,0.31,0.08,0.08,0.01,0.5,0.03,0.56,0.23,0.21,4601428,1124273,1147951,101983,7411262,517614,67128,26798,25063,0.02,0.61,1.48,0.65,0.56,0.79,0.6,NIOZ,1,1,This study,"Kim et al., 2010"
GeoB9535-5,West Africa,-14.96,8.88,666,27.3,17.5,0.2,0.05,0.06,0.01,0.64,0.04,0.26,0.33,0.41,1464909,372986,418969,82563,4637510,286996,29359,36291,45319,0.08,0.68,1.56,1.14,0.6,1.5,0.66,NIOZ,4,1,This study,"Kim et al., 2010"
HB-5,Hudson Bay,-90.71,60.62,128,5.3,-0.1,0.51,0.02,0,0,0.47,0,0.88,0.1,0.02,15831201,480105,132084,63620,14450831,54148,1740748,201746,35760,,0.34,1.15,0.14,-0.55,6,0.1,NIOZ,1,1,This study,"Kim et al., 2010"
HB-6,Hudson Bay,-91.71,60.62,120,3.9,-0.1,0.5,0.01,0,0,0.48,0,0.91,0.08,0.01,2341421,61465,13963,12760,2276818,10335,473234,42765,6399,0.04,0.38,1.13,0.11,-0.7,9.97,0.06,NIOZ,1,1,This study,"Kim et al., 2010"
HON02-015 BEN,Gulf of St. Lawrence,-63.71,49.62,395,5.6,0.9,0.44,0.03,0.01,0,0.5,0.01,0.82,0.13,0.05,966610,73590,27102,7281,1106922,13949,112271,17611,6217,0.14,0.4,1.26,0.22,-0.25,5.84,0.21,NIOZ,1,1,This study,"Kim et al., 2010"
LMG0404-16 ,Antarctic,-55.82,-63.07,743,-1.2,-1.4,0.47,0.01,0,0,0.51,0,0.95,0.04,0.01,11712414,292372,84986,67152,12903812,37740,862191,40778,7928,0.02,0.39,1.16,0.06,-0.48,3.5,0.14,NIOZ,1,1,This study,"Kim et al., 2010"
M2003-08,Norwegian Sea,-1.13,62.77,1601,8.5,7.3,0.53,0.03,0.01,0,0.43,0,0.84,0.13,0.03,23039925,1256844,367167,141597,18557170,187920,1384335,210984,55790,0.03,0.36,1.21,0.2,-0.19,3.65,0.21,NIOZ,2,1,This study,"Kim et al., 2010"
Mokbaai ,North Sea,4.08,53,5,10.7,3,0.54,0.03,0.01,0.01,0.41,0,0.59,0.28,0.13,2332248,151581,50512,31512,1762685,12263,89012,42541,19470,0.62,0.38,1.31,0.54,0.01,3.36,0.28,NIOZ,2,1,This study,"Kim et al., 2010"
NBP0003-28 ,Antarctic,-58.52,-64.37,794,-1.3,-1.6,0.48,0.01,0,0,0.5,0,0.95,0.04,0.01,7203979,200204,52621,33182,7567375,45963,376963,14977,4336,0.04,0.4,1.22,0.06,-0.34,2.56,0.19,NIOZ,1,1,This study,"Kim et al., 2010"
NBP0003-29,Antarctic,-58.44,-64.36,690,-1.3,-1.6,0.51,0.01,0,0,0.47,0,0.96,0.04,0.01,15920491,413344,102065,57229,14675006,67853,590744,21766,5033,0.03,0.35,1.19,0.05,-0.29,1.94,0.18,NIOZ,1,1,This study,"Kim et al., 2010"
NBP0003-30 ,Antarctic,-58.45,-64.28,843,-1.3,-1.6,0.5,0.01,0,0,0.48,0,0.95,0.04,0.01,11791448,293796,75557,53989,11293485,55389,1626420,65484,12538,0.02,0.39,1.16,0.05,-0.66,6.75,0.09,NIOZ,1,1,This study,"Kim et al., 2010"
NBP0107-28 ,Antarctic,-62.05,-64.32,1014,-0.4,-0.1,0.53,0.02,0.01,0,0.43,0,0.94,0.05,0.01,74136636,3035014,753289,415905,59894812,416046,3527663,176761,39924,0.01,0.34,1.18,0.07,-0.23,2.63,0.19,NIOZ,1,1,This study,"Kim et al., 2010"
NBP0107-49 ,Antarctic,-56.38,-63.67,638,-1.2,-1.4,0.46,0.01,0,0,0.52,0,0.94,0.05,0.01,6455667,150631,41657,37912,7322561,30214,325030,17612,3558,0.04,0.42,1.17,0.07,-0.35,2.41,0.19,NIOZ,1,1,This study,"Kim et al., 2010"
NBP0702-15,Antarctic,-125.81,-72.56,425,-1.6,-1.6,0.52,0.02,0,0,0.45,0,0.94,0.05,0.01,1664493,65515,15881,8808,1423397,9760,262047,13492,3220,0.02,0.34,1.19,0.07,-0.6,8.04,0.1,NIOZ,1,1,This study,"Kim et al., 2010"
NBP0702-17,Antarctic,-114.99,-71.54,424,-1.7,-1.6,0.51,0.02,0,0,0.47,0,0.92,0.07,0.02,1439388,53310,13503,6176,1325707,7548,150882,10773,3130,0,0.34,1.23,0.1,-0.5,5.47,0.12,NIOZ,1,1,This study,"Kim et al., 2010"
NBP0702-22,Antarctic,-104.01,-71.75,665,-1.7,-1.7,0.46,0.02,0,0,0.51,0,,,,528268,20543,4928,3510,585494,3404,110115,7439,,0.05,0.37,,,,,0.08,NIOZ,1,1,This study,"Kim et al., 2010"
NBP0702-3,Antarctic,-158.27,-77.47,1081,-0.9,-1.5,0.54,0.02,0,0,0.43,0,0.94,0.05,0.01,11314727,421947,103651,48923,9071467,44221,2080590,109104,19782,0,0.32,1.15,0.07,-0.67,9.52,0.07,NIOZ,1,1,This study,"Kim et al., 2010"
NBP9507-2,Antarctic,-57.49,-62.21,300,-0.5,-1,0.43,0.01,0,0,0.55,0,0.95,0.04,0.01,7608899,214015,57853,32914,9746548,36176,663108,27834,5390,0,0.37,1.16,0.06,-0.52,3.79,0.13,NIOZ,1,1,This study,"Kim et al., 2010"
NIOP 904,Somalia,51.77,10.79,1194,26.1,20.9,0.24,0.07,0.07,0.01,0.57,0.04,0.29,0.28,0.43,2457238,675881,730729,131929,5876514,461159,24360,23402,35810,0.01,0.66,1.6,1.14,0.62,0.8,0.65,NIOZ,2,1,This study,"Kim et al., 2010"
NIOP 906,Somalia,52.13,10.81,2020,26.1,20.9,0.26,0.06,0.07,0.01,0.55,0.05,0.44,0.23,0.33,1128400,271685,310419,46406,2356904,206427,17321,9037,12917,0.01,0.67,1.59,0.89,0.62,0.9,0.66,NIOZ,2,1,This study,"Kim et al., 2010"
NP-07-13-24,Arctic,10.86,79.01,326,0.9,1.1,0.48,0.01,0,0,0.51,0,,,,10534439,166560,72173,42422,11167626,14205,1077842,,,,0.44,,,,,0.09,NIOZ,1,1,This study,"Kim et al., 2010"
NP-07-13-30,Arctic,15.9,80.5,350,0.9,1.8,0.53,0.01,0,0,0.45,0,0.93,0.06,0.01,13835981,324288,107642,58140,11663987,19413,1721886,108158,18767,,0.36,1.15,0.08,-0.65,6.64,0.08,NIOZ,1,1,This study,"Kim et al., 2010"
NP-07-13-31,Arctic,16.28,80.36,398,1.1,1.8,0.54,0.01,0,0,0.44,0,0.94,0.05,0.01,11553638,262102,82334,35390,9277091,13746,1402229,75880,17432,,0.33,1.16,0.07,-0.67,6.58,0.07,NIOZ,1,1,This study,"Kim et al., 2010"
NP-07-13-33,Arctic,17.17,80.1,416,1.2,1.7,0.5,0.01,0,0,0.48,0,0.93,0.06,0.01,20158836,516805,137204,112671,19536862,74331,3555934,219195,38919,0.02,0.39,1.15,0.08,-0.69,8.6,0.07,NIOZ,1,1,This study,"Kim et al., 2010"
NP-07-13-34,Arctic,17.76,79.95,400,1.2,1.7,0.51,0.01,0,0,0.47,0,0.93,0.06,0.01,2213314,56851,16997,13283,2067786,10027,374128,23059,4456,0.03,0.41,1.16,0.08,-0.67,8.4,0.09,NIOZ,1,1,This study,"Kim et al., 2010"
OMEX 98-5,Mediterranean,9.29,41.38,765,17.9,14.4,0.39,0.06,0.04,0.01,0.5,0.01,0.45,0.36,0.19,7881697,1107133,748883,149125,9893907,186688,160526,125577,66958,,0.49,1.35,0.73,0.36,1.74,0.46,NIOZ,2,1,This study,"Kim et al., 2010"
Peru Margin PM1,Peru Margin,-77.32,-11.98,100,19.9,14.8,0.34,0.04,0.03,0.01,0.57,0.01,0.48,0.29,0.23,6362189,785246,551985,147801,10524199,103101,210617,128547,101632,,0.51,1.44,0.75,0.29,2.33,0.45,NIOZ,2,1,This study,"Kim et al., 2010"
Peru Margin PM7,Peru Margin,-78.07,-11.05,250,19.9,14.8,0.29,0.05,0.04,0.01,0.6,0.02,0.44,0.27,0.29,53806942,9065577,7795187,2052531,111549987,3163964,2019453,1223800,1303408,0.02,0.59,1.52,0.84,0.41,2.37,0.54,NIOZ,2,1,This study,"Kim et al., 2010"
SEPT01-07 BEN,Gulf of St. Lawrence,-66.71,50.62,214,5.6,0.9,0.49,0.01,0,0,0.49,0,0.93,0.06,0.01,6081268,165881,45582,32490,6057154,22906,1169685,70507,12842,0.12,0.38,1.15,0.08,-0.7,9.17,0.07,NIOZ,1,1,This study,"Kim et al., 2010"
Station A,Hudson Bay,-79.71,60.62,129,4,0.1,0.48,0.01,0,0,0.49,0,0.89,0.09,0.02,2620728,78878,17124,12969,2664395,13344,373006,37546,6685,0.09,0.36,1.15,0.12,-0.61,7.16,0.09,NIOZ,1,1,This study,"Kim et al., 2010"
Station B,Hudson Bay,-81.71,60.62,156,5.9,0,0.48,0.01,0,0,0.5,0,0.91,0.07,0.01,2808911,75411,16304,12543,2964093,16864,446222,36426,6423,0.09,0.38,1.15,0.1,-0.66,7.66,0.08,NIOZ,1,1,This study,"Kim et al., 2010"
T89-12,Eastern South Atlantic,7.97,-5.2,4068,26.6,17.3,0.37,0.07,0.07,0.01,0.46,0.02,,,,705527,129549,131431,14037,865328,36480,,,,,0.58,,,,,0.58,NIOZ,1,1,This study,"Kim et al., 2010"
T89-14,Eastern South Atlantic,9.69,-3.51,868,25.3,17.7,0.32,0.07,0.06,0.01,0.52,0.02,,,,4960149,1098188,1022819,138829,8166468,350169,,,,,0.58,,,,,0.58,NIOZ,1,1,This study,"Kim et al., 2010"
T89-15,Eastern South Atlantic,10.02,-4.21,1930,25.2,17.5,0.32,0.07,0.07,0.01,0.5,0.03,,,,153573,33969,33286,6473,243510,15880,3119,,,0.12,0.62,,,,,0.6,NIOZ,1,1,This study,"Kim et al., 2010"
T89-16,Eastern South Atlantic,11.23,-5.71,826,25,17.5,0.29,0.07,0.07,0.02,0.52,0.03,,,,120295,28507,30956,7024,218302,12494,,,,0.34,0.64,,,,,0.64,NIOZ,1,1,This study,"Kim et al., 2010"
T89-20,Eastern South Atlantic,11.54,-7.31,1080,26,17.3,0.29,0.07,0.07,0.01,0.53,0.03,0.42,0.28,0.31,6669632,1619052,1654657,242872,12097226,714484,94468,62895,69325,0.13,0.62,1.52,0.89,0.56,0.98,0.6,NIOZ,1,1,This study,"Kim et al., 2010"
T89-21,Eastern South Atlantic,11.99,-7.28,490,26,17.3,0.27,0.07,0.07,0.01,0.55,0.03,0.29,0.31,0.4,3582782,864351,895858,187459,7234132,391643,37138,39572,50101,0.09,0.63,1.56,1.1,0.58,0.95,0.62,NIOZ,1,1,This study,"Kim et al., 2010"
T89-22,Eastern South Atlantic,12.07,-7.13,200,25.1,17.1,0.27,0.07,0.07,0.02,0.55,0.03,0.24,0.31,0.45,1629439,404237,415892,104863,3308045,167625,14063,18369,26142,0.08,0.63,1.59,1.21,0.59,0.96,0.62,NIOZ,1,1,This study,"Kim et al., 2010"
T89-23,Eastern South Atlantic,12.11,-8.51,796,24.9,17,0.28,0.07,0.07,0.01,0.54,0.03,0.33,0.29,0.37,3485840,833608,820478,159654,6660125,354304,38562,33905,42690,0.04,0.62,1.56,1.04,0.57,0.93,0.6,NIOZ,1,1,This study,"Kim et al., 2010"
T89-33,Eastern South Atlantic,11.62,-14.96,2027,23.2,15.7,0.37,0.08,0.06,0.01,0.46,0.02,0.53,0.26,0.21,6171209,1334753,1014364,108445,7698632,412127,88780,43119,35393,0.04,0.53,1.45,0.68,0.48,0.99,0.52,NIOZ,1,1,This study,"Kim et al., 2010"
T89-34,Eastern South Atlantic,11.97,-15.13,999,20.9,15.1,0.33,0.07,0.05,0.01,0.51,0.02,0.43,0.28,0.29,9489025,2057238,1555083,244325,14778992,714181,135058,88534,93550,0.03,0.55,1.51,0.87,0.49,1.09,0.53,NIOZ,1,1,This study,"Kim et al., 2010"
T89-35,Eastern South Atlantic,11.62,-17.29,802,16.6,12.8,0.33,0.06,0.04,0.01,0.54,0.02,0.51,0.28,0.22,14298873,2496232,1782207,356754,23299331,915383,330548,178948,140598,0.02,0.55,1.44,0.71,0.44,1.48,0.52,NIOZ,1,1,This study,"Kim et al., 2010"
T89-40,Eastern South Atlantic,6.78,-21.62,3060,20.1,16.5,0.35,0.08,0.07,0.01,0.47,0.03,,,,172970,40686,32662,3524,231345,13197,,,,0,0.55,,,,,0.55,NIOZ,2,1,This study,"Kim et al., 2010"
303600,Baltic Sea,19.33,56.92,170,8.6,4.6,0.41,0.02,0.01,0,0.56,0,0.89,0.09,0.02,13781204,572853,225807,83872,18439714,106634,1936861,195447,54092,0.01,0.42,1.22,0.14,-0.48,6.18,0.14,NIOZ,2,1,This study,"Sinninghe Damsté et al., 2022"
349190,Baltic Sea,22.97,59.43,94,7.3,2.7,0.47,0.02,0.01,0,0.5,0,0.9,0.07,0.02,17666926,614749,212400,99925,18997565,97365,3074764,253131,70107,0.03,0.4,1.22,0.12,-0.6,8.27,0.1,NIOZ,2,1,This study,"Sinninghe Damsté et al., 2022"
349200,Baltic Sea,26.58,59.78,82,7.3,2.7,0.48,0.02,0.01,0,0.49,0,0.91,0.07,0.02,10812807,405619,157447,59452,11083039,61865,1931778,152327,40938,0.02,0.41,1.21,0.11,-0.59,8.6,0.11,NIOZ,2,1,This study,"Sinninghe Damsté et al., 2022"
370520,Baltic Sea,20.57,58.89,182,8.1,4.4,0.48,0.02,0.01,0,0.49,0,0.85,0.12,0.03,15676864,633221,238261,90077,16059113,104658,2154038,304635,84063,0.01,0.41,1.22,0.19,-0.48,7.19,0.13,NIOZ,2,1,This study,"Sinninghe Damsté et al., 2022"
370531,Baltic Sea,20.26,57.39,232,8.4,5.2,0.43,0.02,0.01,0,0.53,0,0.82,0.14,0.04,13608556,705337,301424,86334,16571243,104695,1659407,289392,83840,0.01,0.41,1.22,0.22,-0.36,6.08,0.17,NIOZ,2,1,This study,"Sinninghe Damsté et al., 2022"
