"","gdgt0_mu","gdgt1_mu","gdgt2_mu","gdgt3_mu","cren_mu","creniso_mu","gdgt0_sig","gdgt1_sig","gdgt2_sig","gdgt3_sig","cren_sig","creniso_sig","gdgt0_max","gdgt1_max","gdgt2_max","gdgt3_max","cren_max","creniso_max","gdgt0_min","gdgt1_min","gdgt2_min","gdgt3_min","cren_min","creniso_min","gdgt0_weights","gdgt1_weights","gdgt2_weights","gdgt3_weights","cren_weights","creniso_weights","Distance","Temperature","ClosedSum","ParetoFrontRank"
"1",-7.55379631792103,21.75414506,31.22302071,44.02994976,50.2016317163517,78.2351197908465,19.47420724,12.11927518,13.43895737,16.99736964,41.1701955429787,20.8223014702155,61.3031508941773,6.563869663,5.18325550551499,9.04090879,68.0676268177638,16.79843567,12.7292092054043,0.117612221,1.278859936,0.760204451067318,10.5006180909307,0.185595713273627,0.110511871188131,0.397057960139395,0.746413825987595,0.832702254603468,0.00815408288588575,0.746193217,5.59,2.78,2.705,1
"2",-8.32892090624182,19.7711969774951,29.0153331818431,32.3663895126835,58.4257802977389,61.329716068713,20.1557693779551,11.9695069703384,11.3280722384303,10.6288052388988,26.035095999477,20.6770508195685,79.7054697445655,6.59393061047446,8.09060426870202,3.69876696394726,73.4934909420381,21.6270256894313,1.63189416579113,0.66178767767547,1.16691938972553,0.369646519205044,40.4916775668727,0.172189616734901,0.0672223480369985,0.634792904282923,0.522939379832742,0.978565536637068,0.0188374534587422,0.306287193171844,2.37,2.67,9.361,1
"3",-7.3183956032362,19.7992877270253,29.0335508369083,34.2921022812895,58.0293910849758,54.5976342364252,20.2781862864328,13.2590681933039,13.4167588835418,11.8886252070866,25.9983674750803,20.2336885257525,61.6231697806296,6.87625580594121,8.30880975164429,2.96663511729565,76.2610387686386,14.9737272516279,5.73350236383785,0.851733954891836,1.22598984152156,1.06269630748144,39.7775885718493,0.243017723062332,0.0681353513901718,0.941333007188803,0.566945780588184,0.980641751201765,0.0175803972733881,0.314423767960815,2.25,5.64,4.152,1
"4",-13.09105269,14.5031721892605,31.3473921864382,40.1167011824719,57.5438637993856,67.77988389,25.3601087730343,11.4792067073804,11.74124243,16.7133132196094,37.1215741545627,28.13514056,68.07155366,6.56376092593436,8.28490937656491,2.38812447583949,72.8871366408643,15.74060034,6.56169516219247,0.624708153,1.3501494609426,0.771767709806541,15.5592766790727,0.121030462052935,0.20850905020002,0.380103800642806,0.786849992,0.640462975176328,0.0188204258367781,0.579853561,2.9,5.69,2.594,1
"5",-6.70425378929412,19.80239327,31.2345577739458,38.1737772685442,54.2005826386475,60.6130629950819,20.3531993597317,11.966643080251,11.4853323973415,16.960531679745,40.802725367464,21.5961097273624,79.811257883166,6.19920687046449,5.34173699329712,5.18429730015276,63.191324646499,21.9451439996635,12.7901057559898,0.66818942,1.19476406731698,0.199117347633709,9.73085244872051,0.855922130062436,0.058566564,0.509129819,0.522543289391094,0.979743765292331,0.0197228754279143,0.306539929778179,4.37,2.49,7.42,1
"6",-8.32892090624182,21.0446349941927,29.847380786487,32.3663895126835,58.4257802977389,61.32967392712,20.3755697034595,11.9695069703384,10.5870630547061,10.6288052388988,26.2781785210091,20.6770508195685,79.7054697445655,6.92018414302305,8.08720324281908,3.69876696394726,73.4934909420381,21.886031486249,1.63189416579113,0.66178767767547,1.16691938972553,0.160251471757563,40.5319938320122,0.172189616734901,0.0623485975854326,0.510238583217265,0.522774037899667,0.97851750957693,0.0189321000682742,0.306287193171844,2.38,2.63,9.132,1
"7",-4.11591570591287,21.0334917581601,28.0575461788908,38.1737772685442,58.1085846091137,60.6131761047154,19.3109272468136,10.6631963894701,11.3587348451637,16.960531679745,26.0584534566818,21.5948006421931,68.8138029938041,6.050937172,5.39395830386171,5.18429730015276,63.3876300291904,23.8302838630335,12.7901057559898,0.645464349432578,0.0897459334427569,0.208617688673143,39.8893202928211,0.820666728308607,0.0608215632024511,0.37640281373833,0.559050689867646,0.980868649688199,0.0196814804944793,0.312592821390288,4.29,2.51,6.634,1
"8",-7.27342934716451,21.8045193100838,31.22302071,44.02994976,50.2103209280506,78.2351239479595,19.4655128095067,12.1195042084761,13.43895737,16.99736964,41.1701955429787,20.7992980281847,61.3031527680984,6.563869663,5.18251759694276,8.72618792445592,68.3419334135127,16.79843567,12.7280907050901,0.635409273727728,1.2788438306739,0.212292450912088,9.7156942043632,0.243043777316888,0.111290993161394,0.713422582679663,0.746413825987595,0.841786304156399,0.0262149205686289,0.314596705501771,5.36,2.59,2.759,1
"9",-6.66658785898758,19.80239327,31.2161671982081,38.3359322800484,54.2005826386475,60.6131761047154,19.3114120753612,10.6775612922629,11.4853323973415,16.960531679745,39.6604376862867,21.5961097273624,69.0468699553812,6.050937172,5.39395830386171,5.18429730015276,63.1116984707283,23.7778924941045,12.7901057559898,0.66818942,0.0897459334427569,0.200791159685933,15.4467675677263,1.3545460160622,0.058566564,0.508219908768175,0.565680101931423,0.980970005070269,0.0197228754279143,0.312914701291109,4.47,2.53,3.862,1
"10",-6.70425378929412,19.80239327,31.2345577739458,38.1737772685442,54.2005826386475,60.6130629950819,20.3531993597317,11.966643080251,11.4853323973415,16.960531679745,40.802725367464,21.5961097273624,79.7057560529137,6.1985745319332,5.34199646323555,5.18429730015276,63.191324646499,21.9451439996635,12.7901057559898,0.66818942,1.19476406731698,0.199117347633709,9.73085244872051,0.855840054640946,0.058566564,0.509129819,0.52183851769391,0.979752697582857,0.0197228754279143,0.306662802379258,4.36,2.49,7.368,1
"11",-4.88680145078841,22.3326800079915,30.3987826903323,33.2254431298016,58.0753599244012,61.2841435684423,19.0889332959977,13.2288129002499,13.5049382934173,9.03750691056867,26.0970129834066,21.4152348540837,68.47904623,6.50845685148032,8.26765363720758,4.09888308724605,73.407338354467,16.9934015729394,1.78238264030504,0.181207714445323,0.0852221985075078,0.365006254482636,37.6500195479316,1.23144908996101,0.0677717145735348,0.616371987336417,0.542629369,0.978428100099177,0.0304078944820583,0.363489574,2.37,2.66,6.034,1
"12",-7.25204456687406,20.8603123300152,29.8477369140792,32.3663895126835,58.8043735306937,61.3805505980217,20.3755697034595,11.9695069703384,10.5861939927086,10.6288052388988,26.2781785210091,20.6770508195685,68.812339821471,6.78301562977414,8.08720324281908,3.69876696394726,73.4934909420381,21.886031486249,1.63189416579113,0.680824502473719,1.16691938972553,0.160251471757563,39.9017574024051,0.172189616734901,0.0623485975854326,0.44530113769002,0.522774037899667,0.922551590588484,0.0392779704053557,0.37663943417468,2.4,2.63,5.246,1
"13",-4.89936996656678,22.3487588954535,30.3727636190295,33.2151898404,58.1001628038971,61.5901895563344,19.0889332959977,13.2288018992208,13.5049427268122,9.03750691056867,26.0410569371912,21.4153544964144,68.4753649190952,6.93308465902516,8.2676502586517,4.09888308724605,73.4213860943619,16.9965652165791,1.78259773917013,0.196250436233804,0.0852221985075078,0.365006254482636,39.6511740019867,1.23144908996101,0.0677717145735348,0.616361296990087,0.528344791692703,0.965996709668129,0.0303432135069403,0.363489574,2.36,2.69,6.664,1
"14",-4.88680145078841,22.3326800079915,30.3987826903323,33.2656418390858,58.0753599244012,61.5861827672546,19.0889332959977,13.2289323570701,13.505646379195,9.03750691056867,26.3406433418902,21.4151469104744,68.4790493221965,6.50845685148032,8.26765363720758,4.09888308724605,73.407338354467,16.9934015729394,1.88245155252697,0.656746146559575,0.0852221985075078,0.365031510594217,37.6500195479316,1.23198590789989,0.0677717145735348,0.614082697763206,0.534397937609852,0.978428100099177,0.0310081074805081,0.363489574,2.36,2.72,6.047,1
"15",-6.16868362323493,16.4969789603314,32.2776617799661,32.2022301173595,45.2223152739641,61.5989849406554,20.3755697034595,11.96685187,10.5079681597778,12.6692930607269,26.2795694803028,20.67888944,78.8866382955586,5.94931832665269,8.08553660776895,4.19121328639021,63.8326252557298,21.886031486249,1.91957419662165,0.1720306762051,1.14358931613022,0.199170533216018,10.0784239548131,0.876998767491864,0.061591888629944,0.510238583217265,0.521636991684824,0.986652640220962,0.0257799403782969,0.308091548187543,3.32,2.5,6.658,1
"16",-5.46987392384519,22.3617014561884,32.0464637812904,34.1432852872816,53.9787358974231,61.5953392734026,20.0682703008952,13.2233132853284,13.6789980837291,11.6829665848742,39.4838148632072,20.5351604795578,68.4793833234876,6.57669150923413,7.75284676512044,4.09940328781691,68.7753415615675,16.9630686700572,1.8852246438219,0.622666557458545,1.1582440191326,0.217656642790406,10.1656546355999,1.23315420257434,0.0623988651442073,0.504608816707028,0.548101118836668,0.96483479217671,0.0359213995538074,0.363667234407801,2.45,2.6,4.738,1
"17",-6.25726248785556,19.855004088191,31.2160792872806,32.9832086969871,50.0987379642163,61.5415831483863,20.4341158561092,11.2895482237536,13.5020023126052,10.3691871480324,40.2161310796427,16.84871022,61.2117759456685,6.04589506832772,5.28709094491036,5.14603713162109,62.9051827852215,27.8686183987002,10.5125553170447,0.665418616288038,0.100433143605239,0.283461460566513,16.2159056350052,1.32361350520788,0.058566564,0.412201482929729,0.541080053755114,0.981942657,0.0296477378568077,0.593419562845935,3.74,2.54,3.055,1
"18",-7.25204456687406,20.8603123300152,29.8477369140792,32.3663895126835,58.8043735306937,61.3805505980217,20.3755697034595,11.9695069703384,10.5861939927086,10.6288052388988,26.2781785210091,20.6770508195685,68.812339821471,6.78301562977414,8.08720324281908,3.69876696394726,73.4934909420381,21.886031486249,1.63189416579113,0.680824502473719,1.16691938972553,0.160251471757563,39.9017574024051,0.172189616734901,0.0623485975854326,0.44530113769002,0.522774037899667,0.922551590588484,0.0392779704053557,0.37663943417468,2.4,2.63,5.246,1
"19",-7.25592954475734,19.7992877270253,29.0335508369083,34.2921022812895,58.758799193425,54.5732065335528,20.2781862864328,13.2832296899963,13.5147964188883,10.2870907064735,25.9983674750803,20.5373785959042,61.5461971970041,6.91179616286641,8.30796493897974,2.96917602770566,76.26114405,14.9737272516279,6.10646852120537,0.847357469987289,1.29588078520149,1.06269630748144,39.7407757381413,0.128766093794162,0.132489266283374,0.931522102549445,0.782686992692395,0.980695437704522,0.0179205422651101,0.525556016750527,2.25,5.06,4.105,1
"20",-4.21495716321837,20.7353482458244,31.2160792872806,32.9865442633916,50.0772583438619,61.6338174591784,19.25679625,11.6182011562246,13.5864250566744,10.368445868959,39.66522063,16.9506400566138,61.487360614116,6.56864010903396,5.30721920199947,5.14603713162109,62.9051827852215,27.8662457934801,10.5125553170447,0.661102706924795,0.101693814093329,0.279735542498829,16.2159056350052,1.4832046723626,0.058566564,0.390093348871585,0.522404913891247,0.981942657,0.00930706001423294,0.593185090943927,3.64,2.53,3.2,1
"21",-7.3183956032362,19.7995555673588,29.0335508369083,33.0696591660183,58.0351889173279,54.5976342364252,20.3929049975579,13.2590681933039,13.4167588835418,9.18129485563908,25.9961914925067,20.2336885257525,61.6231697806296,6.87625580594121,8.31042507311516,2.96663511729565,76.1586539834464,14.9737272516279,5.84644415854944,0.851733954891836,1.22598984152156,1.07167291523474,39.631036901938,0.268921846667437,0.0681353513901718,0.938082848766552,0.53948530449419,0.980641751201765,0.0175803972733881,0.361508580057305,2.25,5.44,4.105,1
"22",-7.31843894064576,19.7992877270253,29.0335508369083,34.2921022812895,58.0293910849758,54.5975523543388,20.2781862864328,13.2832296899963,13.416917902517,9.07582802355067,25.6680846749151,20.2336885257525,61.640415140467,6.87923780978827,8.34309066372977,2.9991179870195,76.26114405,14.9737272516279,6.00841618220428,0.668592137890356,1.21367127724721,1.06269630748144,39.7407757381413,0.228588558539446,0.131509172908504,0.931372316609525,0.795935367654914,0.964329104833311,0.0179228473575481,0.604146086124149,2.26,4.8,4.045,1
