"","gdgt0_mu","gdgt1_mu","gdgt2_mu","gdgt3_mu","cren_mu","creniso_mu","gdgt0_sig","gdgt1_sig","gdgt2_sig","gdgt3_sig","cren_sig","creniso_sig","gdgt0_max","gdgt1_max","gdgt2_max","gdgt3_max","cren_max","creniso_max","gdgt0_min","gdgt1_min","gdgt2_min","gdgt3_min","cren_min","creniso_min","gdgt0_weights","gdgt1_weights","gdgt2_weights","gdgt3_weights","cren_weights","creniso_weights","Distance","Temperature","ClosedSum","ParetoFrontRank","model_id","model_type"
"700",-4.53158159752974,25.4567167190747,32.9360053306524,38.14833842765,70.3503203592106,47.2319046335076,20.6873178130764,14.7292932924331,10.3452952065336,10.6748620669782,45.4786691274331,12.7102034893327,65.005548668801,6.02259285968847,8.43818966032353,3.92241692817241,83.4698461893316,18.6466179663627,4.13026878403785,0.715052266998591,1.653891725,0.0873130939645011,18.3933066596774,0.905854599888968,0.137261298,0.756546846,0.376489205414265,0.985115654791279,0.0264474182446374,0.345756173467634,2.55,2.91,6.997,1,"noRScoretop_seds_2over3under10_sst_1","noRScoretop_seds_2over3under10_sst"
"701",-4.55952506209242,25.4567167190747,32.9360053306524,38.1073386636747,70.3503203592106,47.2319046335076,20.6873178130764,14.5063541948016,10.36389111,10.6748620669782,45.4786691274331,12.7102034893327,65.4157061558559,6.02259285968847,8.46575932888211,3.92241692817241,83.4698461893316,18.6454939285049,4.13026878403785,0.715052266998591,1.653891725,0.0873130939645011,18.3933066596774,0.251072891647271,0.137261298,0.756546846,0.376489205414265,0.985115654791279,0.020350467379437,0.345756173467634,2.53,2.92,6.812,1,"noRScoretop_seds_2over3under10_sst_2","noRScoretop_seds_2over3under10_sst"
"702",-4.58088756541542,22.5560494935071,33.009394606848,38.1073386636747,70.3529663641699,47.2319046335076,20.6873178130764,13.5767533818801,10.3829742208821,10.3964304150701,45.4770362463177,12.7194021219042,65.4157061558559,6.02259285968847,8.46575932888211,3.92241692817241,83.07383679113,18.6309870827583,5.095955316976,0.708434898740215,1.653891725,0.0873130939645011,18.3933066596774,0.251072891647271,0.137261298,0.756546846,0.376489205414265,0.988941563226981,0.020350467379437,0.345756173467634,2.52,2.94,6.778,1,"noRScoretop_seds_2over3under10_sst_3","noRScoretop_seds_2over3under10_sst"
"703",-4.86588545277863,25.054583485669,33.0196212147169,38.3022705895505,70.5930052605106,55.8512703392762,21.6538121985571,12.7114906567929,10.3638864388551,10.677963291857,42.6875634082419,17.9109131113923,59.9401635295101,6.02298978784493,8.01955433829812,3.93899249495117,74.2338295269334,18.6454028021981,4.93716785246927,0.714521256588825,1.63971037401072,0.0891001547578804,28.5880634091531,0.247600294657346,0.143408800644055,0.756450000899751,0.376459208893213,0.985800585917629,0.019799400362329,0.494677678503579,2.62,2.94,3.206,1,"noRScoretop_seds_2over3under10_sst_4","noRScoretop_seds_2over3under10_sst"
"704",-3.86031283797922,22.5369491442094,33.009394606848,38.1528593302115,70.3720007670741,47.2319046335076,20.6873178130764,12.1601499784616,10.4220832260072,10.3964304150701,45.4786163498761,12.7194021219042,61.5628940060804,6.02001724243156,8.46575932888211,3.92818289592822,75.219558431422,18.6445697565131,4.22608720137775,0.706333524226641,1.65471205895459,0.100602037220767,18.4088022530412,0.263324966020802,0.137261298,0.756546846,0.379767061018393,0.842454343265663,0.0203206604213976,0.345756173467634,2.44,2.96,3.778,1,"noRScoretop_seds_2over3under10_sst_5","noRScoretop_seds_2over3under10_sst"
"705",-2.14193893995713,22.5141003237331,32.874133623397,42.0441529268566,63.3074684344933,46.6171282829171,20.400336258859,12.1341746420645,11.0635225717479,14.7591605748039,39.997341029642,11.851152353802,62.6564353059231,6.02754156904548,8.0871198113353,3.93025155706634,71.9260420074196,18.6451001173017,3.63588483523054,0.883459141065447,1.65374006892323,0.0883897402992065,18.3386868933786,1.00546154874328,0.127935141834518,0.791556628030583,0.19076379177039,0.836840913783953,0.0216225624529639,0.479151732,2.42,2.97,3.798,1,"noRScoretop_seds_2over3under10_sst_6","noRScoretop_seds_2over3under10_sst"
"706",-2.16343996500901,22.2511584403184,34.064041077764,37.6939535418371,70.9983776167418,56.7651446366267,20.6737919685999,14.5386974217001,10.372184019943,13.8391550745326,42.8168849723754,19.096472976703,62.644506448988,6.01401731228172,8.4182711125834,3.24963912708771,74.3781774809422,18.5311609668484,4.96169305670639,0.112018295882002,0.307699344808063,0.0928916629871507,20.2235619452268,0.241386631114976,0.134572627779488,0.755897136636641,0.379740603380325,0.969315221805738,0.00193978388421045,0.588036295633806,2.8,2.97,3.068,1,"noRScoretop_seds_2over3under10_sst_7","noRScoretop_seds_2over3under10_sst"
"707",-4.25459967156884,22.5087706568612,33.0210486202987,38.1074548163518,70.6217133956321,56.61624202,20.6873178130764,14.4527488928954,10.3626046224213,10.6053130588901,45.4069764774085,17.859950261062,65.9165189780334,6.03145083930211,8.46575932888211,3.93169946570466,74.8013722214314,18.6403797002233,4.18137911817078,0.211635296899206,0.126914774245711,0.0877400160926062,18.418416814801,0.23936726599263,0.137165697665675,0.756515920692182,0.376495961182197,0.924941247351191,0.020350467379437,0.627310459692264,2.53,2.98,3.36,1,"noRScoretop_seds_2over3under10_sst_8","noRScoretop_seds_2over3under10_sst"
"708",-4.55952506209242,22.5087706568612,33.0210486202987,38.1074548163518,70.6217133956321,56.61624202,20.6873178130764,14.4527488928954,10.3626046224213,10.6053130588901,45.4069764774085,17.859950261062,65.9165189780334,6.03145083930211,8.46575932888211,3.93169946570466,74.8013722214314,18.6403797002233,4.18137911817078,0.211635296899206,0.126914774245711,0.0877400160926062,18.418416814801,0.23936726599263,0.137165697665675,0.756515920692182,0.376495961182197,0.924941247351191,0.020350467379437,0.627310459692264,2.53,2.99,3.439,1,"noRScoretop_seds_2over3under10_sst_9","noRScoretop_seds_2over3under10_sst"
"709",-4.57396189918542,22.5091417948597,33.0210486202987,38.1074548163518,70.6220714834466,56.61624202,20.6873178130764,14.4532639585928,10.3626046224213,10.6053130588901,45.4069764774085,17.8639989578821,65.9165189780334,6.03145083930211,8.46575932888211,3.93169946570466,74.8013722214314,18.6403797002233,3.24723132407509,0.19086815529602,0.126914774245711,0.0877400160926062,18.418416814801,0.23936726599263,0.136858300136298,0.745187210631465,0.376495961182197,0.924955105372965,0.020350467379437,0.619276398115418,2.53,2.99,3.695,1,"noRScoretop_seds_2over3under10_sst_10","noRScoretop_seds_2over3under10_sst"
