"","x"
"1","1"
"2","101"
"3","102"
"4","105"
"5","106"
"6","107"
"7","111"
"8","115"
"9","118"
"10","120"
"11","126"
"12","13"
"13","2"
"14","3"
"15","30"
"16","31"
"17","32"
"18","34"
"19","41"
"20","45"
"21","47"
"22","48"
"23","5"
"24","50"
"25","54"
"26","55"
"27","57"
"28","6"
"29","63"
"30","65"
"31","67"
"32","71"
"33","72"
"34","73"
"35","84"
"36","85"
"37","87"
"38","93"
