gdgt0_mu,gdgt1_mu,gdgt2_mu,gdgt3_mu,cren_mu,creniso_mu,gdgt0_sig,gdgt1_sig,gdgt2_sig,gdgt3_sig,cren_sig,creniso_sig,gdgt0_max,gdgt1_max,gdgt2_max,gdgt3_max,cren_max,creniso_max,gdgt0_min,gdgt1_min,gdgt2_min,gdgt3_min,cren_min,creniso_min,gdgt0_weights,gdgt1_weights,gdgt2_weights,gdgt3_weights,cren_weights,creniso_weights
-0.593203169,18.24386805,32.99430323,41.97290536,69.8082079,70.45401418,16.28514113,14.26594902,8.969873207,15.04319341,36.24544254,24.66738419,58.16365266,5.796843632,6.256847369,6.89106134,75.94334918,18.40094631,17.54656408,1.319465363,0.295875473,0.802890744,25.14872249,1.471948197,0.04352778,0.45092335,0.59464882,0.829308043,0.126679808,0.27743174
0.547960589,18.24386805,32.9942075,41.97290536,69.81432136,55.12653226,16.28514113,14.26594902,8.908942254,14.62696559,36.23530035,16.5464355,58.16365266,5.796843632,6.248300602,6.89106134,75.94334918,18.40094631,8.734037888,1.319465363,0.295875473,0.802890744,25.14872249,1.474903567,0.04352778,0.45092335,0.59464882,0.828426761,0.126679808,0.28230932
-3.247491859,18.24386805,32.99430323,41.97290536,69.8082079,70.45401418,16.93030943,14.26594902,8.969873207,15.04319341,36.24544254,24.66738419,58.16365266,5.796841274,6.26565359,6.860137052,75.94334918,18.40094631,17.54656408,1.320448331,0.295875473,0.807361637,25.14954247,1.471948197,0.04353207,0.45092335,0.601353048,0.829308043,0.126679808,0.27743174
-5.047015751,23.27026826,31.92302363,41.37067215,42.34865313,54.94458363,25.45988898,14.22145456,10.89008453,14.91383011,17.15746439,18.8139543,62.78892446,6.653011497,5.503225408,6.878574646,78.62098038,15.95609154,4.877688185,0.91316997,1.096966123,0.201096556,29.93416715,0.33437368,0.044696078,0.574493938,0.9462932,0.682185885,0.125030024,0.320561204
-5.047015751,23.26163375,31.89193479,41.37067215,42.57139708,54.94458363,18.58116305,14.28414457,11.58910283,14.91194965,17.15746439,18.83108993,67.74037546,6.652628695,5.503225408,6.878574646,78.78033618,15.99953153,5.570184475,0.91316997,0.355577803,0.897315056,31.13237589,0.33437368,0.044696078,0.572317888,0.938566513,0.720991925,0.125030024,0.320561204
-9.700722823,23.37905291,31.89193479,41.37360228,42.57139708,51.5371736,23.33309719,14.28204052,11.58910283,14.90276335,16.58271904,18.80112431,67.96185722,6.661091464,5.470762784,6.878574646,78.99284686,14.22109997,4.877688185,0.913270175,0.354060943,1.55129821,29.58365901,0.33437368,0.044696078,0.572317888,0.938566513,0.682086217,0.122400179,0.320449501
-5.047015751,23.26065102,31.89193479,41.37067215,42.57139708,54.94458363,18.58116305,14.27505637,11.58910283,14.91383011,17.15746439,18.83108993,67.96185722,6.652628695,5.503225408,6.878574646,78.86045477,16.0132843,4.877688185,0.91316997,0.355577803,1.55129821,31.13237589,0.33437368,0.044696078,0.572317888,0.938566513,0.682185885,0.125030024,0.320561204
-5.047015751,22.95596581,31.89193479,37.87803384,42.57139708,54.94458363,18.24949075,14.27505637,11.58910283,14.25089259,17.15746439,17.07232862,67.96185722,6.652628695,5.503225408,6.878574646,78.4848015,16.0132843,4.877688185,0.91316997,0.355577803,0.237563756,31.13121285,0.139055005,0.04496201,0.576824662,0.939877894,0.682185885,0.125030024,0.330946813
-5.047015751,23.26065102,31.89193479,41.37067215,42.57139708,54.94458363,18.57945996,14.27505637,11.58910283,14.91383011,17.15746439,18.83108993,67.96185722,6.652628695,5.503225408,6.878574646,78.86045477,16.0132843,4.877688185,0.91316997,0.355577803,1.55129821,31.13237589,0.33437368,0.044696078,0.572317888,0.938566513,0.682185885,0.125030024,0.320561204
-4.775081454,23.26065102,31.89193479,41.37067215,42.57139708,54.94458363,18.58116305,14.27505637,11.58910283,14.91383011,17.15746439,18.83108993,67.96185722,6.652628695,5.503225408,6.878574646,78.86045477,16.0132843,4.877688185,0.91316997,0.355577803,1.55129821,31.13237589,0.33437368,0.044696078,0.572317888,0.938566513,0.682185885,0.125030024,0.320561204
-4.461195435,23.26065102,31.89193479,41.37067215,42.57139708,54.94458363,18.58116305,14.27505637,11.58910283,14.91383011,17.15746439,18.83108993,67.96185722,6.652628695,5.503225408,6.878574646,78.86045477,16.0132843,4.877688185,0.91316997,0.355577803,1.55129821,31.13237589,0.33437368,0.044696078,0.572317888,0.938566513,0.682185885,0.125030024,0.320561204
-5.180290811,23.26065102,31.89193479,41.37067215,42.57139708,54.94458363,18.58116305,14.27505637,11.58910283,14.91383011,17.15746439,18.83108993,67.96185722,6.652628695,5.503225408,6.878574646,78.86045477,16.0132843,4.877688185,0.91316997,0.355577803,1.55129821,31.13237589,0.33437368,0.044696078,0.572317888,0.938566513,0.682185885,0.125030024,0.320561204
-4.871244819,23.3857199,31.89193479,41.37067215,42.57139708,54.94458363,18.58116305,14.28186952,11.58910283,14.91369517,17.15746439,18.83108993,67.96185722,6.652628695,5.503225408,6.878574646,78.85887725,15.99811864,4.877688185,0.91316997,0.389743818,1.55129821,31.17906005,0.33437368,0.044696078,0.572317888,0.938566513,0.682169183,0.125030024,0.320561204
-4.063178201,18.41025328,30.7913904,52.01704785,44.39909042,70.3967476,16.28477734,14.26850111,9.003306498,18.48760813,26.48692409,24.93643128,68.0470579,5.798788417,6.236088268,6.89134828,62.78443613,18.40094631,17.54845065,1.320928526,0.216055217,0.802838967,25.14872249,1.479498477,0.043531602,0.573301612,0.601030194,0.929777272,0.12675154,0.277415249
2.339400765,27.11870232,30.78563872,36.28902354,44.39367877,53.44933927,17.26691735,16.70158072,9.273169624,5.925200583,37.41013793,14.89791286,55.27075072,5.840765276,7.906162324,6.634966137,72.39548509,16.88720151,0.693090326,1.325049038,0.091727025,0.772281077,1.110615561,1.391980395,0.134189902,0.970915159,0.60143917,0.829078052,0.120566645,0.475902116
-11.28461226,25.19485295,28.2150731,37.11515107,79.23338924,58.79934207,26.25083388,19.10444362,8.724224464,5.835980546,28.39175226,19.2710141,67.04887262,6.026074032,8.417802054,7.396031509,63.98752718,15.58977878,5.252731816,0.90838511,0.088456333,0.349131698,51.14918264,0.808304778,0.137261298,0.744967142,0.362493452,0.883328606,0.12426376,0.586909858
-11.28461226,25.08833042,28.2150731,36.55307449,79.23338924,58.79934207,26.25121495,19.10444362,8.724224464,5.835980546,28.39283347,19.2710141,67.0285145,6.026074032,8.386391095,6.628992432,63.2622933,15.58977878,5.252731816,0.881313023,0.08502888,0.349131698,51.14918264,0.808304778,0.137294302,0.744967142,0.351842127,0.883328606,0.003201534,0.586492842
2.612712341,27.12059416,31.5959068,46.17889548,44.26602627,53.44933927,17.29037909,16.70158072,9.273169624,10.79009714,37.41013793,14.89791286,55.72117015,5.840765276,7.491184965,6.97138526,72.39548509,16.91786037,0.637913926,1.325049038,0.343776708,0.831902203,0.834615874,1.391980395,0.1351005,0.970915159,0.60129381,0.829078052,0.12346461,0.475902116
-11.28461973,25.19485295,28.21587402,37.12985066,79.23338924,58.79934207,26.25083388,19.04323618,8.724224464,5.835980546,28.36677271,19.28296207,67.04887262,6.026074032,8.417802054,7.396031509,63.98752718,15.58977878,5.252731816,0.90838511,0.074514891,0.349633267,51.14918264,0.808304778,0.137261298,0.744967142,0.362015756,0.883328606,0.12426376,0.586909858
-5.205144515,18.08936217,30.7913904,52.01704785,44.6964172,71.20950023,19.87612682,14.16919819,12.806949,18.48760813,25.16442355,24.93643128,68.26773361,5.821074355,6.246241701,6.941141564,60.78320169,18.01824941,17.54656408,0.742472072,0.071552009,0.278535681,24.45758241,0.285281943,0.04352778,0.588188439,0.600753429,0.879308009,0.125374393,0.251413011
-11.28461226,25.19485295,28.2150731,37.11786852,79.23338924,58.79934207,26.25083388,19.10444362,8.724224464,5.835980546,28.39175226,19.2710141,67.04887262,6.026074032,8.417802054,7.054924583,63.98561476,15.58977878,5.613585237,0.90838511,0.088456333,0.353276929,51.14918264,0.808304778,0.137261298,0.744967142,0.362493452,0.883328606,0.124258773,0.586909858
-11.28461226,25.18222365,28.2150731,36.54419793,79.23333496,58.79934207,26.8957983,16.82015208,8.724224464,5.835980546,28.62816987,19.30644167,65.95015808,6.026058198,8.417770765,7.393877368,65.23996802,15.5901332,5.62103158,0.90838511,0.088456333,0.388499858,49.8567787,0.47143074,0.137261298,0.745011651,0.362493452,0.883328606,0.064277725,0.586897767
-11.28461226,25.19467521,28.2150731,37.1077836,79.23338924,58.79934207,26.25083388,19.10444362,8.724224464,5.835980546,28.39175226,19.2710141,67.17008204,6.026074032,8.417802054,7.05249221,64.08391515,15.58977878,5.252731816,0.90838511,0.088456333,0.353538862,51.14918264,0.808304778,0.137261298,0.744967142,0.362493452,0.883328606,0.12426376,0.586909858
-6.425214506,18.99582866,32.48971032,52.01704785,44.69162983,70.88803689,16.9321668,14.16919819,12.45661946,18.48760813,25.77405503,24.94588834,62.56466497,5.820978683,6.229166166,6.70965914,61.23095759,18.40094631,17.54656408,1.355494291,0.241426098,0.802890744,24.66608659,0.214490138,0.043564997,0.587971428,0.601018619,0.82964087,0.12675154,0.251413011
-11.49449782,25.19485295,28.2150731,37.11515107,79.23338924,58.79934207,26.25083388,19.10444362,8.724224464,5.835980546,28.39175226,19.2710141,67.04887262,6.026074032,8.417802054,7.396031509,63.98752718,15.58977878,5.252731816,0.90838511,0.088456333,0.349131698,51.14918264,0.808304778,0.137261298,0.744967142,0.362493452,0.883328606,0.12426376,0.586909858
-11.77555719,25.19467148,28.18868976,36.53279794,79.23338924,58.79934207,26.25083388,16.82015208,8.724224464,5.835980546,30.97465456,19.2710141,67.16741705,6.026058198,8.397549903,7.077663364,63.98897466,15.58977878,5.62103158,0.90838511,0.088456333,0.353499767,51.14918264,0.47143074,0.135034511,0.744967142,0.362493452,0.883328606,0.124698464,0.596472875
-11.28461226,25.19467148,28.2150731,36.53683047,79.23338924,58.79934207,24.90060807,16.80020476,8.724224464,5.530834116,36.1532141,19.84138284,67.16741705,6.0217106,8.417802054,7.000613871,61.29834547,15.58977878,8.05285819,0.90838511,0.08904747,0.356401229,51.14918264,0.47143074,0.137261298,0.806983887,0.362493452,0.883328606,0.0581316,0.586909858
